i,j,gamma_hat,gamma_true,abs_error,auc,is_true
2,67,-0.0063482856617055414,,,0.7686996598280483,False
2,68,0.0060920564978580154,,,0.7686974749452137,False
2,69,-0.018881166518524423,,,0.7687432482406003,False
2,70,-0.00504234764696353,-0.0143939368584493,0.00935158921148577,0.7686822171800849,True
2,71,0.0026585526790547736,,,0.7686980341711773,False
2,72,-0.05094606011679351,-0.1146017193137696,0.06365565919697609,0.7688123919791651,True
2,73,-0.00663427882206768,,,0.7686992670693482,False
2,74,0.02047104321371825,,,0.7687040061842588,False
2,75,0.002822727980418195,,,0.7686956021884983,False
2,76,0.0020299400636422434,,,0.7686967622572414,False
2,77,0.008700938913522707,,,0.7687056162348239,False
2,78,-0.004815058309454421,,,0.7686961276007991,False
2,79,-0.05715496654345354,,,0.7688408370728318,False
2,80,-0.060061080490944406,,,0.7687551142352336,False
2,81,0.016738808079368436,,,0.7686828076186604,False
2,82,0.0022692396545278236,,,0.7687035640055899,False
2,83,-0.02783258758557209,,,0.7687270410918589,False
2,84,-0.01991109429257741,,,0.7686960027503513,False
2,85,0.002008213238587662,,,0.7686929179038728,False
2,86,-0.026686227200273634,,,0.7687045315965596,False
2,87,-0.012408752082599764,,,0.768704284496715,False
2,88,-0.02793579263295759,,,0.7687418280667577,False
2,89,0.021670977081907183,,,0.7686713968079513,False
2,90,-0.0373272950175084,,,0.7687120928517982,False
2,91,-0.015033125002674284,,,0.7687076112409361,False
2,92,-0.0036006225805738958,,,0.7686960469682182,False
2,93,-0.013979600648597133,,,0.7687089325748409,False
2,94,-0.01580200247811014,,,0.7686938308727717,False
2,95,-0.0068578549788960875,,,0.7686970717823097,False
2,96,0.0016178108886814955,,,0.7686942756524915,False
2,97,-0.016169653070496642,,,0.7686964085143062,False
2,98,-0.0017427809690453919,,,0.768693248237349,False
2,99,-0.023216337419396882,,,0.7687161426881952,False
3,4,-0.0011240583934891955,,,0.7686972954726953,False
3,5,-0.03291596413809158,,,0.7687320637213275,False
3,6,-0.015747729391424242,,,0.7687136846950062,False
3,7,-0.014505291121240018,,,0.7687241513242049,False
3,8,0.010688290818293191,,,0.7686861811817992,False
3,9,-0.02331092000309285,,,0.7687467388510338,False
3,10,-0.028049055963004294,,,0.7687685954825336,False
3,11,-0.003531302813497431,,,0.7687003803191736,False
3,12,-0.025159977602883417,,,0.7687603215393228,False
3,13,-0.010656443392589468,,,0.7687220678823589,False
3,14,0.012262410517133122,,,0.7686664704173692,False
3,15,-0.019320577590762878,,,0.7687441299968872,False
3,16,0.0034855554668538156,,,0.7686888472590678,False
3,17,0.002566837711317067,,,0.7686936748097118,False
3,18,-0.017100102253369727,,,0.7686819570749854,False
3,19,0.0009512472486523336,,,0.7686955371622235,False
3,20,-0.029524039672108003,,,0.7687390735537556,False
3,21,-0.0028459500563417766,,,0.768696902713995,False
3,22,0.011875693683724493,,,0.7686862878248899,False
3,23,0.024122746134729717,,,0.7686628887701509,False
3,24,-0.012299166635484618,,,0.7687244218335081,False
3,25,-0.012667322545844056,,,0.7687090730315945,False
3,26,-0.023595711540538338,,,0.7687554159571488,False
3,27,-0.03425148382877058,,,0.7687049165521067,False
3,28,-0.028621355491792858,,,0.768728669349781,False
3,29,-0.011074580868505194,,,0.7687286797539846,False
3,30,0.007727753900685149,,,0.7686844983018062,False
3,31,-0.009075060323942893,,,0.7687065838257936,False
3,32,-0.015095367873386983,,,0.7687492670725997,False
3,33,-0.01735103079176573,,,0.7687081392542877,False
3,34,-0.0062461209295578135,,,0.7687026536377422,False
3,35,-0.010340768206480807,-0.2046974996397629,0.19435673143328208,0.7687148889816164,True
3,36,-0.020701229992878083,,,0.7687382516216414,False
3,37,0.026997154310520168,,,0.7686676044756025,False
3,38,0.014236367309869118,,,0.7686866337646723,False
3,39,-0.007464192879729617,,,0.7686982630636648,False
3,40,0.011905797079502416,,,0.7686868392477005,False
3,41,-0.05005577015205746,,,0.7688476284169763,False
3,42,-0.013356036392169868,,,0.7687201665140826,False
3,43,-0.03745221421957117,,,0.7688080820376685,False
3,44,-0.02512819654114201,,,0.7686826853692637,False
3,45,-0.024356567977742584,,,0.768685086139331,False
3,46,-0.016384381141991068,,,0.7687188321749228,False
3,47,0.013138461956828683,,,0.7686783051993904,False
3,48,-0.025648565465492983,,,0.7687564121596794,False
3,49,0.0856689708601361,0.2405808379727752,0.1549118671126391,0.7687977428599686,True
3,50,-0.033032806225651426,,,0.7688041076317503,False
3,51,-0.01898575869568188,,,0.7687422130223048,False
3,52,-0.030739732610300878,,,0.7687786615498792,False
3,53,-0.0020637283029260197,,,0.7686954123117757,False
