i,j,gamma_true,times_found,detection_rate,mean_gamma_pred,gamma_error_when_found
28,46,0.0239959885677207,2,0.3333333333333333,0.04892813838097365,0.024932149813252952
76,78,0.0247613788101528,0,0.0,,
67,81,0.0250908951580834,0,0.0,,
6,38,0.0269636923150027,0,0.0,,
22,99,0.0274527402592426,0,0.0,,
15,62,0.0274614195590773,0,0.0,,
92,99,0.0281909403138265,0,0.0,,
0,94,0.0298914503433555,0,0.0,,
33,96,0.0303097167011458,0,0.0,,
70,86,0.0303444531088769,0,0.0,,
44,93,0.0309638674073253,0,0.0,,
1,12,0.0313235136050574,0,0.0,,
26,57,0.0316411254077578,0,0.0,,
28,69,0.032104589317161,0,0.0,,
1,70,0.0321307705385079,0,0.0,,
21,75,0.0335949017781465,0,0.0,,
6,57,0.0337044579240916,0,0.0,,
7,50,0.0353594400340422,1,0.16666666666666666,-0.0222691079417758,0.057628547975818
28,82,0.0354179683080131,2,0.3333333333333333,0.10403623716616256,0.06861826885814945
0,20,0.0357919599344674,0,0.0,,
70,82,0.0367895327661396,0,0.0,,
6,43,0.0375030183932787,4,0.6666666666666666,0.1119476901182487,0.07444467172497
2,18,0.038114220679527,0,0.0,,
70,79,0.0383110806417137,0,0.0,,
5,74,0.0394091184342552,0,0.0,,
10,54,0.0398232810215606,0,0.0,,
9,37,0.0399448434510443,0,0.0,,
9,49,0.0404263025308713,0,0.0,,
6,27,0.0413852743546233,0,0.0,,
4,78,0.042508148054005,1,0.16666666666666666,0.139137123662251,0.09662897560824601
63,67,0.0425136705295917,1,0.16666666666666666,0.0603868365961313,0.017873166066539603
1,64,0.0428716927872959,0,0.0,,
7,57,0.0433835509275722,0,0.0,,
3,55,0.0442071865215113,0,0.0,,
33,49,0.0454535536296376,0,0.0,,
1,88,0.0462524026119267,0,0.0,,
20,35,0.0464173092148772,0,0.0,,
33,51,0.0473812221712481,2,0.3333333333333333,0.05618175595669175,0.008800533785443647
0,60,0.0477018494700274,0,0.0,,
46,64,0.0483497703457995,0,0.0,,
72,80,0.0493258856546955,0,0.0,,
80,99,0.0496857204800757,0,0.0,,
96,99,0.050353804234441,0,0.0,,
2,29,0.0503654521845325,0,0.0,,
11,46,0.0503908005299554,0,0.0,,
54,93,0.0505624393863406,0,0.0,,
74,99,0.0512558538916048,0,0.0,,
66,99,0.0520881936436084,3,0.5,0.06681776584241096,0.014729572198802561
18,49,0.0530004563679483,0,0.0,,
0,28,0.0531701941168647,0,0.0,,
59,76,0.053319117695439,0,0.0,,
1,24,0.0545318208684454,1,0.16666666666666666,0.0945455332124078,0.0400137123439624
46,81,0.0560828822902834,0,0.0,,
75,91,0.0569179020847892,0,0.0,,
45,92,0.0582347215780115,0,0.0,,
5,97,0.0583423294900081,0,0.0,,
6,8,0.0601714258993083,1,0.16666666666666666,0.1072760759810184,0.0471046500817101
34,95,0.0606022638796252,1,0.16666666666666666,0.058649350732434,0.0019529131471912042
36,87,0.0606438353644374,0,0.0,,
70,93,0.0619688151371736,0,0.0,,
15,59,0.0621501774579348,0,0.0,,
22,72,0.0624999371391893,2,0.3333333333333333,0.049860493640715,0.012639443498474297
13,48,0.0625786062497419,0,0.0,,
28,40,0.0631797726540543,0,0.0,,
8,27,0.063526001020828,0,0.0,,
38,87,0.0637012289145324,0,0.0,,
42,47,0.0639407159655204,1,0.16666666666666666,0.0599267267940561,0.004013989171464297
15,95,0.0643592130358331,2,0.3333333333333333,0.1115201480880381,0.047160935052205005
12,69,0.0651260280351882,0,0.0,,
13,81,0.0652492232165752,0,0.0,,
78,96,0.0660113819541238,0,0.0,,
3,13,0.0668208392071368,0,0.0,,
59,62,0.0674425871724387,0,0.0,,
26,56,0.0676502154629449,0,0.0,,
64,90,0.0691129024711846,0,0.0,,
9,56,0.0694061430867072,0,0.0,,
47,80,0.0695043932760206,0,0.0,,
4,8,0.0702775534289803,0,0.0,,
11,37,0.0735606855107264,0,0.0,,
95,96,0.0742587212528727,0,0.0,,
13,41,0.0763268012569914,0,0.0,,
3,26,0.0769195121575657,0,0.0,,
16,88,0.0769571294899282,0,0.0,,
27,92,0.077346161340663,0,0.0,,
43,80,0.0776530229651856,0,0.0,,
82,99,0.0781951497294428,1,0.16666666666666666,0.0731399710289065,0.005055178700536303
25,79,0.0794682976902293,0,0.0,,
24,32,0.0796428712494502,0,0.0,,
72,85,0.0807508579871401,0,0.0,,
33,70,0.0807970320753745,1,0.16666666666666666,0.0372225874483081,0.0435744446270664
68,76,0.0811830535195106,0,0.0,,
9,36,0.0813991358059301,0,0.0,,
12,22,0.081660473633069,0,0.0,,
30,65,0.0821105022078471,0,0.0,,
71,80,0.0826731086424424,0,0.0,,
34,81,0.0846239577705502,2,0.3333333333333333,0.0902379391097905,0.005613981339240293
11,61,0.0846822749598727,0,0.0,,
65,71,0.0859038260389838,0,0.0,,
31,96,0.0867689115049008,0,0.0,,
73,89,0.0872308152438835,0,0.0,,
66,89,0.0875631046739769,0,0.0,,
0,77,0.0884663215167662,0,0.0,,
66,73,0.0885370135490241,0,0.0,,
23,47,0.088708055513045,0,0.0,,
30,35,0.0898470884578497,1,0.16666666666666666,-0.0474682752696114,0.1373153637274611
7,89,0.0902994083251533,0,0.0,,
